date,Kedah AQI
1/1/2021,51
1/2/2021,49
1/3/2021,46
1/4/2021,46
1/5/2021,35
1/6/2021,29
1/7/2021,26
1/8/2021,31
1/9/2021,34
1/10/2021,40
1/11/2021,44
1/12/2021,43
1/13/2021,44
1/14/2021,51
1/15/2021,50
1/16/2021,54
1/17/2021,52
1/18/2021,58
1/19/2021,60
1/20/2021,62
1/21/2021,58
1/22/2021,61
1/23/2021,64
1/24/2021,65
1/25/2021,54
1/26/2021,52
1/27/2021,56
1/28/2021,41
1/29/2021,47
1/30/2021,53
1/31/2021,57
2/1/2021,51
2/2/2021,46
2/3/2021,56
2/4/2021,62
2/5/2021,50
2/6/2021,49
2/7/2021,52
2/8/2021,50
2/9/2021,50
2/10/2021,52
2/11/2021,46
2/12/2021,47
2/13/2021,48
2/14/2021,55
2/15/2021,59
2/16/2021,62
2/17/2021,67
2/18/2021,63
2/19/2021,52
2/20/2021,49
2/21/2021,55
2/22/2021,54
2/23/2021,62
2/24/2021,73
2/25/2021,74
2/26/2021,68
2/27/2021,62
2/28/2021,61
3/1/2021,64
3/2/2021,72
3/3/2021,60
3/4/2021,57
3/5/2021,55
3/6/2021,50
3/7/2021,44
3/8/2021,47
3/9/2021,48
3/10/2021,54
3/11/2021,51
3/12/2021,46
3/13/2021,46
3/14/2021,53
3/15/2021,53
3/16/2021,56
3/17/2021,56
3/18/2021,56
3/19/2021,58
3/20/2021,60
3/21/2021,56
3/22/2021,50
3/23/2021,51
3/24/2021,42
3/25/2021,40
3/26/2021,43
3/29/2021,38
3/30/2021,43
3/31/2021,46
4/1/2021,46
4/2/2021,40
4/3/2021,38
4/4/2021,44
4/5/2021,55
4/6/2021,56
4/7/2021,44
4/8/2021,46
4/9/2021,53
4/10/2021,59
4/11/2021,59
4/12/2021,54
4/13/2021,54
4/14/2021,48
4/15/2021,37
4/16/2021,41
4/17/2021,29
4/18/2021,31
4/19/2021,33
4/20/2021,22
4/21/2021,28
4/22/2021,33
4/23/2021,28
4/24/2021,27
4/25/2021,26
4/26/2021,33
4/27/2021,28
4/28/2021,28
4/29/2021,36
4/30/2021,38
5/1/2021,36
5/2/2021,36
5/3/2021,36
5/4/2021,40
5/5/2021,40
5/6/2021,38
5/7/2021,27
5/19/2021,36
5/20/2021,32
5/21/2021,38
5/22/2021,32
5/23/2021,37
5/24/2021,48
5/25/2021,49
5/26/2021,48
5/27/2021,39
5/28/2021,28
5/29/2021,38
5/30/2021,56
5/31/2021,54
6/1/2021,54
6/2/2021,55
6/3/2021,54
6/4/2021,48
6/5/2021,43
6/6/2021,33
6/7/2021,43
6/8/2021,49
6/9/2021,56
6/10/2021,52
6/11/2021,29
6/12/2021,40
6/13/2021,50
6/14/2021,54
6/15/2021,48
6/16/2021,43
6/17/2021,58
6/18/2021,52
6/19/2021,52
6/20/2021,45
6/21/2021,30
6/22/2021,34
6/23/2021,44
6/24/2021,35
6/25/2021,34
6/26/2021,26
6/27/2021,37
6/28/2021,38
6/29/2021,39
6/30/2021,25
7/1/2021,32
7/2/2021,40
7/3/2021,40
7/4/2021,32
7/5/2021,30
7/6/2021,23
7/7/2021,22
7/8/2021,44
7/9/2021,46
7/10/2021,24
7/11/2021,16
7/12/2021,18
7/13/2021,37
7/14/2021,41
7/15/2021,54
7/16/2021,56
7/17/2021,65
7/18/2021,73
7/19/2021,67
7/20/2021,64
7/21/2021,64
7/22/2021,67
7/23/2021,60
7/24/2021,54
7/25/2021,58
7/26/2021,65
7/27/2021,55
7/28/2021,48
7/29/2021,55
7/30/2021,36
7/31/2021,20
8/1/2021,22
8/2/2021,22
8/3/2021,34
8/4/2021,32
8/5/2021,35
8/6/2021,53
8/7/2021,60
8/8/2021,47
8/9/2021,29
8/10/2021,21
8/11/2021,19
8/12/2021,33
8/13/2021,52
8/14/2021,54
8/15/2021,50
8/16/2021,40
8/17/2021,26
8/18/2021,24
8/19/2021,22
8/20/2021,22
8/21/2021,22
8/22/2021,32
9/9/2021,20
9/10/2021,31
9/11/2021,45
9/12/2021,56
9/13/2021,41
9/14/2021,25
9/15/2021,40
9/16/2021,47
9/17/2021,55
9/18/2021,60
9/19/2021,44
9/20/2021,24
9/21/2021,21
9/22/2021,28
9/23/2021,40
9/24/2021,51
9/25/2021,57
9/26/2021,48
9/27/2021,22
9/28/2021,26
9/29/2021,21
9/30/2021,22
10/1/2021,36
10/2/2021,33
10/3/2021,53
10/4/2021,52
10/5/2021,36
10/6/2021,23
10/7/2021,22
10/8/2021,30
10/9/2021,30
10/10/2021,39
10/11/2021,38
10/12/2021,48
10/13/2021,51
10/14/2021,48
10/15/2021,56
10/16/2021,60
10/17/2021,52
10/18/2021,34
10/19/2021,43
10/20/2021,35
10/21/2021,19
10/22/2021,30
10/23/2021,30
10/24/2021,28
10/25/2021,23
10/26/2021,30
10/27/2021,30
10/28/2021,34
10/29/2021,33
10/30/2021,41
10/31/2021,26
11/1/2021,31
11/2/2021,32
11/3/2021,40
11/4/2021,44
11/5/2021,34
11/6/2021,38
11/7/2021,31
11/8/2021,30
11/9/2021,28
11/10/2021,23
11/11/2021,22
11/12/2021,26
11/13/2021,20
11/14/2021,24
11/15/2021,36
11/16/2021,42
11/17/2021,37
11/18/2021,22
11/19/2021,23
11/20/2021,24
11/21/2021,28
11/22/2021,30
11/23/2021,32
11/24/2021,26
11/25/2021,32
11/26/2021,28
11/27/2021,33
11/28/2021,40
11/29/2021,38
11/30/2021,39
12/1/2021,41
12/2/2021,35
12/3/2021,34
12/4/2021,45
12/5/2021,48
12/6/2021,50
12/7/2021,51
12/8/2021,46
12/9/2021,46
12/10/2021,50
12/11/2021,45
12/12/2021,48
12/13/2021,51
12/14/2021,48
12/15/2021,46
12/16/2021,54
12/27/2021,52
12/28/2021,51
12/29/2021,50
12/30/2021,33
12/31/2021,32
