dddd,Perlis AQI
1/1/2021,53
1/2/2021,55
1/3/2021,50
1/4/2021,42
1/5/2021,38
1/6/2021,33
1/7/2021,21
1/8/2021,28
1/9/2021,33
1/10/2021,40
1/11/2021,47
1/12/2021,47
1/13/2021,52
1/14/2021,61
1/15/2021,53
1/16/2021,58
1/17/2021,56
1/18/2021,59
1/19/2021,59
1/20/2021,57
1/21/2021,54
1/22/2021,64
1/23/2021,61
1/24/2021,64
1/25/2021,49
1/26/2021,48
1/27/2021,49
1/28/2021,30
1/29/2021,43
1/30/2021,52
1/31/2021,61
2/1/2021,53
2/2/2021,46
2/3/2021,56
2/4/2021,59
2/5/2021,50
2/6/2021,52
2/7/2021,48
2/8/2021,44
2/9/2021,39
2/10/2021,41
2/11/2021,37
2/12/2021,40
2/13/2021,45
2/14/2021,55
2/15/2021,58
2/16/2021,63
2/17/2021,67
2/18/2021,60
2/19/2021,48
2/20/2021,48
2/21/2021,54
2/22/2021,52
2/23/2021,62
2/24/2021,70
2/25/2021,68
2/26/2021,88
2/27/2021,77
2/28/2021,69
3/1/2021,64
3/2/2021,60
3/3/2021,54
3/4/2021,56
3/5/2021,46
3/6/2021,44
3/7/2021,38
3/8/2021,35
3/9/2021,38
3/10/2021,49
3/11/2021,49
3/12/2021,51
3/13/2021,51
3/14/2021,53
3/15/2021,51
3/16/2021,53
3/17/2021,52
3/18/2021,59
3/19/2021,54
3/20/2021,52
3/21/2021,52
3/22/2021,42
3/23/2021,46
3/24/2021,43
3/25/2021,28
3/26/2021,42
3/29/2021,27
3/30/2021,27
3/31/2021,36
4/1/2021,41
4/2/2021,30
4/3/2021,41
4/4/2021,49
4/5/2021,53
4/6/2021,48
4/7/2021,34
4/8/2021,45
4/9/2021,57
4/10/2021,60
4/11/2021,63
4/12/2021,57
4/13/2021,50
4/14/2021,42
4/15/2021,37
4/16/2021,44
4/17/2021,33
4/18/2021,30
4/19/2021,26
4/20/2021,21
4/21/2021,28
4/22/2021,33
4/23/2021,26
4/24/2021,18
4/25/2021,19
4/26/2021,19
4/27/2021,19
4/28/2021,31
4/29/2021,35
4/30/2021,29
5/1/2021,25
5/2/2021,30
5/3/2021,32
5/4/2021,37
5/5/2021,34
5/6/2021,38
5/7/2021,26
5/19/2021,23
5/20/2021,25
5/21/2021,27
5/22/2021,20
5/23/2021,25
5/24/2021,33
5/25/2021,47
5/26/2021,37
5/27/2021,27
5/28/2021,24
5/29/2021,29
5/30/2021,54
5/31/2021,54
6/1/2021,58
6/2/2021,59
6/3/2021,52
6/4/2021,55
6/5/2021,49
6/6/2021,31
6/7/2021,43
6/8/2021,52
6/9/2021,54
6/10/2021,53
6/11/2021,45
6/12/2021,45
6/13/2021,46
6/14/2021,57
6/15/2021,54
6/16/2021,48
6/17/2021,58
6/18/2021,53
6/19/2021,58
6/20/2021,48
6/21/2021,25
6/22/2021,29
6/23/2021,49
6/24/2021,37
6/25/2021,26
6/26/2021,25
6/27/2021,45
6/28/2021,50
6/29/2021,37
6/30/2021,24
7/1/2021,40
7/2/2021,49
7/3/2021,27
7/4/2021,29
7/5/2021,21
7/6/2021,18
7/7/2021,20
7/8/2021,36
7/9/2021,33
7/10/2021,19
7/11/2021,15
7/12/2021,18
7/13/2021,45
7/14/2021,46
7/15/2021,49
7/16/2021,50
7/17/2021,62
7/18/2021,67
7/19/2021,71
7/20/2021,76
7/21/2021,65
7/22/2021,68
7/23/2021,59
7/24/2021,57
7/25/2021,61
7/26/2021,60
7/27/2021,35
7/28/2021,26
7/29/2021,37
7/30/2021,23
7/31/2021,17
8/1/2021,15
8/2/2021,18
8/3/2021,20
8/4/2021,17
8/5/2021,21
8/6/2021,42
8/7/2021,49
8/8/2021,29
8/9/2021,27
8/10/2021,20
8/11/2021,16
8/12/2021,27
8/13/2021,51
8/14/2021,53
8/15/2021,52
8/16/2021,46
8/17/2021,30
8/18/2021,25
8/19/2021,26
8/20/2021,29
8/21/2021,23
8/22/2021,26
9/9/2021,12
9/10/2021,20
9/11/2021,34
9/12/2021,52
9/13/2021,28
9/14/2021,23
9/15/2021,25
9/16/2021,34
9/17/2021,45
9/18/2021,58
9/19/2021,41
9/20/2021,20
9/21/2021,16
9/22/2021,19
9/23/2021,33
9/24/2021,59
9/25/2021,54
9/26/2021,38
9/27/2021,17
9/28/2021,23
9/29/2021,29
9/30/2021,30
10/1/2021,43
10/2/2021,41
10/3/2021,60
10/4/2021,56
10/5/2021,31
10/6/2021,22
10/7/2021,21
10/8/2021,24
10/9/2021,22
10/10/2021,27
10/11/2021,27
10/12/2021,30
10/13/2021,25
10/14/2021,35
10/15/2021,52
10/16/2021,53
10/17/2021,52
10/18/2021,45
10/19/2021,38
10/20/2021,32
10/21/2021,29
10/22/2021,43
10/23/2021,37
10/24/2021,35
10/25/2021,31
10/26/2021,46
10/27/2021,36
10/28/2021,46
10/29/2021,42
10/30/2021,38
10/31/2021,29
11/1/2021,35
11/2/2021,33
11/3/2021,42
11/4/2021,33
11/5/2021,25
11/6/2021,35
11/7/2021,34
11/8/2021,31
11/9/2021,38
11/10/2021,27
11/11/2021,23
11/12/2021,25
11/13/2021,23
11/14/2021,24
11/15/2021,27
11/16/2021,25
11/17/2021,27
11/18/2021,18
11/19/2021,18
11/20/2021,19
11/21/2021,22
11/22/2021,30
11/23/2021,30
11/24/2021,24
11/25/2021,24
11/26/2021,24
11/27/2021,27
11/28/2021,37
11/29/2021,26
11/30/2021,39
12/1/2021,33
12/2/2021,23
12/3/2021,33
12/4/2021,41
12/5/2021,41
12/6/2021,50
12/7/2021,47
12/8/2021,36
12/9/2021,47
12/10/2021,46
12/11/2021,39
12/12/2021,44
12/13/2021,53
12/14/2021,41
12/15/2021,48
12/16/2021,56
12/27/2021,48
12/28/2021,53
12/29/2021,44
12/30/2021,26
12/31/2021,38
